,topic,word,proba
0,0,some,0.010071681812405586
1,0,protein,0.008675162680447102
2,0,coffee,0.008212738670408726
3,0,sugar,0.00805551465600729
4,0,drink,0.007750315126031637
5,0,calories,0.006492522079497576
6,0,foods,0.00612258305773139
7,0,low,0.006048595532774925
8,0,also,0.006030098535120487
9,0,one,0.005937613546848297
10,1,he,0.018309438601136208
11,1,had,0.015897579491138458
12,1,up,0.014613849110901356
13,1,out,0.01444527879357338
14,1,all,0.008389700204133987
15,1,then,0.008208162151277065
16,1,food,0.007637615315616131
17,1,one,0.007125419564545155
18,1,day,0.0070346505381166935
19,1,time,0.006742893718183041
20,2,said:,0.018894728273153305
21,2,what,0.012086037546396255
22,2,hope,0.010604949668049812
23,2,it's,0.010583380237221718
24,2,thank,0.010108857415616512
25,2,you're,0.010072908364236355
26,2,good,0.009972251951694489
27,2,really,0.009756559506058693
28,2,know,0.009418641217052937
29,2,get,0.009411451406776905
30,3,from,0.018969090655446053
31,3,weight,0.017859958112239838
32,3,body,0.013650945387780666
33,3,will,0.012342738918960094
34,3,it’s,0.010958694852888584
35,3,using,0.010930255055427551
36,3,more,0.01031407155096531
37,3,low,0.009413493797183037
38,3,sent,0.008939506486058235
39,3,also,0.00842759944498539
40,4,they,0.020779142156243324
41,4,people,0.019585823640227318
42,4,an,0.012525361962616444
43,4,ed,0.011833779513835907
44,4,think,0.010183927603065968
45,4,it's,0.009284419007599354
46,4,who,0.008380390703678131
47,4,their,0.008100141771137714
48,4,we,0.007313636597245932
49,4,all,0.007200633175671101
50,5,look,0.020535530522465706
51,5,they,0.011177365668118
52,5,im,0.010194854810833931
53,5,body,0.009582002647221088
54,5,u,0.00897887721657753
55,5,fat,0.008327113464474678
56,5,skinny,0.007860178127884865
57,5,being,0.007704532705247402
58,5,than,0.007539159618318081
59,5,even,0.007276508491486311
60,6,day,0.020375799387693405
61,6,calories,0.018469661474227905
62,6,eating,0.013281109742820263
63,6,more,0.011870428919792175
64,6,days,0.01006062887609005
65,6,up,0.009544526226818562
66,6,then,0.009076593443751335
67,6,than,0.007507641799747944
68,6,binge,0.006661233492195606
69,6,usually,0.0061933002434670925
70,7,it's,0.018208706751465797
71,7,don't,0.01818004809319973
72,7,get,0.015414356254041195
73,7,want,0.01336038950830698
74,7,food,0.011430615559220314
75,7,even,0.010695008561015129
76,7,know,0.010690231807529926
77,7,myself,0.009257230907678604
78,7,really,0.008975408039987087
79,7,can't,0.008555061183869839
80,8,she,0.037786174565553665
81,8,her,0.0287507101893425
82,8,people,0.011830744333565235
83,8,how,0.011674150824546814
84,8,it’s,0.01039791014045477
85,8,who,0.009677578695118427
86,8,don’t,0.008597081527113914
87,8,an,0.008276063948869705
88,8,has,0.008197766728699207
89,8,said,0.008033343590795994
90,9,weight,0.022935129702091217
91,9,been,0.02079315483570099
92,9,now,0.013555633835494518
93,9,had,0.013334758579730988
94,9,i’ve,0.011891364119946957
95,9,i've,0.010170591063797474
96,9,am,0.008901841938495636
97,9,back,0.008871021680533886
98,9,years,0.008054296486079693
99,9,got,0.007566316518932581
